iter	Passed	Remaining
0	2	293
1	6	308
2	8	289
3	10	256
4	12	241
5	14	228
6	16	217
7	17	206
8	19	197
9	21	189
10	22	183
11	24	178
12	25	173
13	27	169
14	29	166
15	31	164
16	32	160
17	34	158
18	37	158
19	39	156
20	41	154
21	43	152
22	44	149
23	46	147
24	48	145
25	50	142
26	52	142
27	55	143
28	57	141
29	60	140
30	62	138
31	64	136
32	66	134
33	67	131
34	69	129
35	71	126
36	73	124
37	75	122
38	76	120
39	78	117
40	80	115
41	81	112
42	82	109
43	84	107
44	86	105
45	87	103
46	89	101
47	91	99
48	93	97
49	95	95
50	96	92
51	98	90
52	99	88
53	101	86
54	102	84
55	104	82
56	106	80
57	108	78
58	110	76
59	112	74
60	114	73
61	116	71
62	118	69
63	120	67
64	123	66
65	126	65
66	135	66
67	138	65
68	141	63
69	144	61
70	146	59
71	149	58
72	151	56
73	153	53
74	156	52
75	158	50
76	160	48
77	163	45
78	165	43
79	167	41
80	170	39
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	183	27
87	185	25
88	188	23
89	190	21
90	192	19
91	194	16
92	196	14
93	198	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
